carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,previousOwners,flag_invalid_tax,flag_invalid_engineSize,flag_invalid_mileage,flag_invalid_mpg,flag_invalid_previousOwners,has_reportedDamage,car_age,mileage_per_year,is_eco,is_luxury,mileage_bin,tax_to_engine_ratio
46299,mercedes,clclass,2019.0,semiauto,2575.0,petrol,145.0,45.6,1.5,0.0,0,0,0,0,1,1,6.0,367.85714285714283,0,1,0-10k,96.66666666666667
69620,vw,polo,2017.0,semiauto,19324.0,petrol,20.0,61.4,1.4,1.0,0,0,0,0,0,1,8.0,2147.1111111111113,0,0,10k-50k,14.285714285714286
68925,vw,polo,2019.0,semiauto,3329.0,petrol,145.0,39.8,2.0,0.0,0,0,0,0,1,1,6.0,475.57142857142856,0,0,0-10k,72.5
40663,mercedes,clclass,2016.0,automatic,59290.0,hybrid,2.17002331251214,133.9035554971517,2.0,0.0,0,0,0,0,1,1,9.0,5929.0,1,1,50k-100k,1.08501165625607
25370,ford,focus,2020.0,manual,100.0,petrol,145.64021120896828,58.319666204990995,1.0,0.0,0,0,0,0,1,1,5.0,16.666666666666668,0,0,0-10k,145.64021120896828
37689,mercedes,a3,2019.0,automatic,4074.0,petrol,144.76036788136156,46.204958082957575,1.5,2.0,0,0,0,0,0,1,6.0,582.0,0,1,0-10k,96.50691192090771
44120,mercedes,glcclass,2017.0,semiauto,28263.0,petrol,305.0,34.0,3.0,1.0,0,0,0,0,0,1,8.0,3140.3333333333335,0,1,10k-50k,101.66666666666667
37919,mercedes,claclass,2018.0,manual,13000.0,petrol,145.0,51.4,1.6,1.0,0,0,0,0,0,1,7.0,1625.0,0,1,10k-50k,90.625
19047,ford,fiesta,2016.0,manual,15636.0,petrol,125.0,54.3,1.2,0.0,0,0,0,0,1,1,9.0,1563.6,0,0,10k-50k,104.16666666666667
12176,audi,ix20,2019.0,semiauto,1155.0,diesel,145.0,61.4,2.0,0.0,0,0,0,0,1,1,6.0,165.0,0,1,0-10k,72.5
10509,bmw,series7,2017.0,semiauto,34024.0,hybrid,0.0,128.4,2.0,3.0,0,0,0,0,0,1,8.0,3780.4444444444443,1,1,10k-50k,0.0
52131,toyota,yaris,2017.0,manual,26791.0,petrol,145.0,58.9,1.5,2.0,0,0,0,0,0,1,8.0,2976.777777777778,0,0,10k-50k,96.66666666666667
4632,audi,a1,2018.0,manual,25955.0,diesel,145.0,51.4,1.6,1.0,0,0,0,0,0,1,7.0,3244.375,0,1,10k-50k,90.625
29233,ford,a1,2017.0,semiauto,31033.0,petrol,145.0,51.4,1.0,0.0,0,0,0,0,1,1,8.0,3448.1111111111113,0,0,10k-50k,145.0
